CLUSTER,2
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD145,0.060051,18.7869,6.42857,0.464286,0.158826,0.551959,1.35207,0.532446,-0.380124,9.61806,
TD146,0.05994,18.565,6.42857,0.464286,0.156951,0.552018,1.35493,0.534081,-0.373393,9.50867,
TD147,0.059988,18.3511,6.42857,0.464286,0.155142,0.552009,1.35771,0.535757,-0.367021,9.40307,
TD148,0.059954,17.9428,6.42857,0.464286,0.15169,0.552008,1.36307,0.538862,-0.354811,9.20168,
TD149,0.060026,17.7505,6.42857,0.464286,0.150064,0.551951,1.36564,0.540232,-0.349007,9.10676,
TD150,0.059955,17.5622,6.42857,0.464286,0.148473,0.551895,1.36814,0.541572,-0.343467,9.01372,
TD151,0.059989,17.207,6.42857,0.464286,0.14547,0.551953,1.373,0.544334,-0.333056,8.83832,
TD152,0.059953,17.0394,6.42857,0.464286,0.144053,0.552065,1.37529,0.545617,-0.328166,8.75552,
TD153,0.059955,21.5214,6.42857,1.46429,0.268584,0.601975,0.920857,0.476694,-0.200139,11.0388,
TD154,0.060079,21.1982,6.42857,1.46429,0.26455,0.60198,0.924214,0.480116,-0.193207,10.8786,
TD155,0.060013,20.5902,6.42857,1.46429,0.256963,0.602122,0.930429,0.48624,-0.180206,10.5773,
TD156,0.059987,20.3008,6.42857,1.46429,0.253351,0.601994,0.933429,0.489212,-0.17424,10.4338,
TD157,0.059981,20.0258,6.42857,1.46429,0.249919,0.602064,0.936286,0.491938,-0.168494,10.2973,
